"Час визита","Визиты","Просмотры","Посетители","Отказы"
"2023-03-04 05:00:00","5944","25479","5801","0.2762449528936743"
"2023-03-21 05:00:00","5938","26429","5818","0.21926574604243854"
"2023-04-29 05:00:00","5933","29236","5809","0.26479015675037926"
"2023-03-12 03:00:00","5932","22362","5758","0.3054619015509103"
"2023-05-02 01:00:00","5932","20327","5785","0.32788267026298046"
"2023-03-25 01:00:00","5931","20798","5741","0.33114146012476825"
"2023-03-07 02:00:00","5927","16400","5734","0.3819807659861649"
"2023-06-30 04:00:00","5923","21551","5828","0.31909505318250886"
"2023-03-03 02:00:00","5918","17006","5808","0.3093950659006421"
"2023-04-29 01:00:00","5914","21755","5760","0.34460601961447407"
"2023-04-03 02:00:00","5910","18227","5780","0.34703891708967854"
"2023-04-16 04:00:00","5905","24919","5729","0.27298899237933955"
"2023-03-01 04:00:00","5901","19501","5804","0.2846975088967972"
"2023-03-16 05:00:00","5901","24274","5790","0.21742077613963734"
"2023-06-04 05:00:00","5900","28555","5785","0.28677966101694913"
"2023-06-26 05:00:00","5892","27931","5814","0.27342158859470467"
"2023-03-11 04:00:00","5891","22788","5687","0.29214055338652184"
"2023-06-08 05:00:00","5891","24897","5752","0.20930232558139536"
"2023-05-29 01:00:00","5889","20595","5742","0.3820682628629648"
"2023-04-04 04:00:00","5882","21175","5810","0.28442706562393744"
"2023-07-28 06:00:00","5882","34319","5803","0.20554233253995244"
"2023-03-04 02:00:00","5879","19167","5734","0.3655383568634122"
"2023-07-30 06:00:00","5859","39181","5784","0.2126642771804062"
"2023-06-28 05:00:00","5852","26218","5775","0.29818865345181134"
"2023-07-16 01:00:00","5847","22946","5700","0.3531725671284419"
"2023-06-18 02:00:00","5833","20040","5625","0.38110749185667747"
"2023-07-27 06:00:00","5828","33873","5737","0.20247083047357584"
"2023-07-20 00:00:00","5826","26398","5717","0.27205629934775144"
"2023-05-05 05:00:00","5824","25648","5711","0.2663118131868132"
"2023-03-24 05:00:00","5819","25309","5683","0.24196597353497165"
"2023-05-11 02:00:00","5815","18659","5714","0.29939810834049874"
"2023-06-11 01:00:00","5812","23117","5662","0.33207157604955273"
"2023-04-07 04:00:00","5811","21498","5720","0.29065565307176044"
"2023-03-05 04:00:00","5810","25075","5585","0.28072289156626506"
"2023-04-27 05:00:00","5806","26163","5685","0.2617981398553221"
"2023-04-22 01:00:00","5804","21085","5642","0.3402825637491385"
"2023-04-16 02:00:00","5802","20644","5606","0.3462599103757325"
"2023-03-18 02:00:00","5783","18798","5522","0.29465675255057927"
"2023-03-09 02:00:00","5782","17079","5635","0.34157730888965754"
"2023-04-10 05:00:00","5781","23853","5636","0.249783774433489"
"2023-05-03 05:00:00","5778","24879","5671","0.2552786431291104"
"2023-06-15 02:00:00","5776","17365","5616","0.3497229916897507"
"2023-03-19 04:00:00","5775","24865","5585","0.2555844155844156"
"2023-05-05 01:00:00","5750","18723","5607","0.33443478260869564"
"2023-04-24 01:00:00","5749","19013","5568","0.352409114628631"
"2023-04-05 01:00:00","5744","18122","5610","0.3513231197771588"
"2023-03-31 02:00:00","5740","18562","5645","0.32473867595818817"
"2023-03-28 05:00:00","5736","24591","5611","0.25453277545327757"
"2023-04-17 01:00:00","5733","17572","5577","0.3521716378859236"
"2023-06-28 01:00:00","5726","20355","5565","0.3657003143555711"
"2023-07-26 00:00:00","5723","24864","5601","0.2757295124934475"
"2023-07-06 01:00:00","5721","20503","5595","0.3632232127250481"
"2023-05-21 01:00:00","5714","21765","5586","0.32779138956947845"
"2023-07-08 01:00:00","5708","21384","5558","0.3701822004204625"
"2023-05-09 05:00:00","5692","29892","5539","0.2466619817287421"
